Date,Close,Volume,W_Average
1950-07-24,17.69000053,11880000,17.99507537
1950-07-31,18.13999939,8800000,18.01959146
1950-08-07,18.28000069,9340000,18.05088182
1950-08-14,18.68000031,8330000,18.10447324
1950-08-21,18.54000092,8200000,18.1452905
1950-08-28,18.54999924,7110000,18.18322593
1950-09-04,18.75,5850000,18.23148399
1950-09-11,19.29000092,10900000,18.31126899
1950-09-18,19.44000053,9890000,18.39630127
1950-09-25,19.45000076,10660000,18.47729056
1950-10-02,20.15999985,13420000,18.5995271
1950-10-09,19.70999908,9250000,18.68623671
1950-10-16,20.01000023,10870000,18.78752704
1950-10-23,19.79000092,11020000,18.86946257
1950-10-30,19.78000069,9220000,18.94548411
1950-11-06,19.94000053,7830000,19.02761316
1950-11-13,19.95000076,9970000,19.10591427
1950-11-20,20.28000069,10400000,19.20120463
1950-11-27,19.54000092,12210000,19.24400037
1950-12-04,19.5,11810000,19.28161326
1950-12-11,19.63999939,13870000,19.32546267
1950-12-18,20.06999969,18370000,19.39505403
1950-12-25,20.40999985,14130000,19.48352712
1951-01-01,20.87999916,14340000,19.59883888
1951-01-08,21.10000038,17360000,19.7248604
1951-01-15,21.40999985,18250000,19.86630124
1951-01-22,21.53000069,12780000,20.01060234
1951-01-29,22.07999992,14250000,20.1821292
1951-02-05,22.20999908,12800000,20.35255924
1951-02-12,22.14999962,8830000,20.50763447
1951-02-19,21.95999908,7810000,20.64064515
1951-02-26,21.94000053,8770000,20.76318281
1951-03-05,21.90999985,8470000,20.8756129
1951-03-12,21.67000008,10440000,20.96475269
1951-03-19,21.46999931,5640000,21.03455909
1951-03-26,21.39999962,7180000,21.09354831
1951-04-02,21.68000031,7480000,21.16447305
1951-04-09,22.20000076,8410000,21.26264514
1951-04-16,22.04999924,11340000,21.34488164
1951-04-23,22.43000031,8770000,21.44602145
1951-04-30,22.69000053,10150000,21.55752686
1951-05-07,22.21999931,9090000,21.63326875
1951-05-14,21.54999924,8570000,21.66038697
1951-05-21,21.07999992,8770000,21.65387084
1951-05-28,21.47999954,13460000,21.67038694
1951-06-04,21.48999977,5820000,21.68389231
1951-06-11,22.04000092,6150000,21.72954828
1951-06-18,21.54999924,5710000,21.73909663
1951-06-25,20.95999908,8730000,21.70784926
1951-07-02,21.63999939,5180000,21.71741913
1951-07-09,21.97999954,5440000,21.74432234
1951-07-16,21.87999916,6360000,21.75974165
1951-07-23,22.53000069,7860000,21.81320408
1951-07-30,22.85000038,8530000,21.8827525
1951-08-06,22.79000092,7580000,21.94419343
1951-08-13,22.94000053,7210000,22.01167735
1951-08-20,22.87999916,6100000,22.07199988
1951-08-27,23.28000069,7360000,22.15522574
1951-09-03,23.53000069,7490000,22.25199999
1951-09-10,23.69000053,10930000,22.35625809
1951-09-17,23.39999962,10180000,22.43849463
1951-09-24,23.26000023,7820000,22.50860218
1951-10-01,23.77000046,10630000,22.60877425
1951-10-08,23.79999924,7440000,22.70688173
1951-10-15,23.12999916,9380000,22.75718276
1951-10-22,22.45000076,10680000,22.76004302
1951-10-29,22.73999977,8140000,22.77935484
1951-11-05,22.88999939,6040000,22.80606448
1951-11-12,22.84000015,8710000,22.82806449
1951-11-19,22.29999924,4950000,22.81352681
1951-11-26,22.94000053,11280000,22.84055911
1951-12-03,23.40999985,8240000,22.89737631
1951-12-10,23.36000061,7140000,22.94840861
1951-12-17,23.53000069,7060000,23.00651619
1951-12-24,23.69000053,5690000,23.06967751
1951-12-31,23.94000053,10110000,23.14421518
1952-01-07,24.05999947,8330000,23.22122589
1952-01-14,24.32999992,8340000,23.31131191
1952-01-21,24.59000015,9210000,23.41219364
1952-01-28,24.40999985,8970000,23.49365599
1952-02-04,24.25,7540000,23.55883878
1952-02-11,23.84000015,5370000,23.59268825
1952-02-18,23.36000061,6630000,23.59135494
1952-02-25,23.28000069,6150000,23.58307541
1952-03-03,23.77000046,7260000,23.60548403
