Date,Growth,Close,Volume,W_Average
1950-04-06,1,17.78000069,2000000,0
1950-04-10,1,17.85000038,2070000,0
1950-04-11,0,17.75,2010000,0
1950-04-12,1,17.94000053,2010000,0
1950-04-13,1,17.97999954,2410000,0
1950-04-14,0,17.95999908,2750000,0
1950-04-17,0,17.87999916,2520000,0
1950-04-18,1,18.03000069,3320000,0
1950-04-19,1,18.04999924,2950000,0
1950-04-20,0,17.93000031,2590000,0
1950-04-21,1,17.95999908,2710000,0
1950-04-24,0,17.82999992,2310000,0
1950-04-25,0,17.82999992,1830000,0
1950-04-26,0,17.76000023,1880000,0
1950-04-27,1,17.86000061,2070000,0
1950-04-28,1,17.95999908,2190000,0
1950-05-01,1,18.21999931,2390000,0
1950-05-02,0,18.11000061,2250000,0
1950-05-03,1,18.27000046,2120000,0
1950-05-04,0,18.12000084,2150000,0
1950-05-05,1,18.21999931,1800000,0
1950-05-08,1,18.27000046,1680000,0
1950-05-09,0,18.27000046,1720000,0
1950-05-10,1,18.29000092,1880000,0
1950-05-11,0,18.29000092,1750000,0
1950-05-12,0,18.18000031,1790000,0
1950-05-15,1,18.26000023,1220000,0
1950-05-16,1,18.44000053,1730000,0
1950-05-17,1,18.52000046,2020000,0
1950-05-18,1,18.55999947,5240000,0
1950-05-19,1,18.68000031,2110000,0
1950-05-22,0,18.60000038,1620000,0
1950-05-23,1,18.70999908,1460000,0
1950-05-24,0,18.69000053,1850000,0
1950-05-25,0,18.69000053,1480000,0
1950-05-26,0,18.67000008,1330000,0
1950-05-29,1,18.71999931,1110000,0
1950-05-31,1,18.78000069,1530000,0
1950-06-01,0,18.77000046,1580000,0
1950-06-02,1,18.79000092,1450000,0
1950-06-05,0,18.60000038,1630000,0
1950-06-06,1,18.87999916,2250000,0
1950-06-07,1,18.93000031,1750000,0
1950-06-08,1,19.13999939,1780000,0
1950-06-09,1,19.26000023,2130000,0
1950-06-12,1,19.39999962,1790000,0
1950-06-13,0,19.25,1790000,0
1950-06-14,0,18.97999954,1650000,0
1950-06-15,0,18.93000031,1530000,0
1950-06-16,1,18.96999931,1180000,0
1950-06-19,0,18.92000008,1290000,0
1950-06-20,0,18.82999992,1470000,0
1950-06-21,1,19,1750000,0
1950-06-22,1,19.15999985,1830000,0
1950-06-23,0,19.13999939,1700000,0
1950-06-26,0,18.11000061,3950000,0
1950-06-27,0,17.90999985,4860000,0
1950-06-28,1,18.11000061,2600000,0
1950-06-29,0,17.44000053,3040000,0
1950-06-30,1,17.69000053,2660000,0
1950-07-03,0,17.63999939,1550000,0
1950-07-05,1,17.80999947,1400000,0
1950-07-06,1,17.90999985,1570000,0
1950-07-07,0,17.67000008,1870000,0
1950-07-10,0,17.59000015,1960000,0
1950-07-11,0,17.31999969,3250000,0
1950-07-12,0,16.87000084,3200000,0
1950-07-13,0,16.69000053,2660000,0
1950-07-14,1,16.87000084,1900000,0
1950-07-17,0,16.68000031,1520000,0
1950-07-18,1,17.05999947,1820000,0
1950-07-19,1,17.36000061,2430000,0
1950-07-20,1,17.61000061,3160000,0
1950-07-21,0,17.59000015,2810000,0
1950-07-24,0,17.47999954,2300000,0
1950-07-25,0,17.22999954,2770000,0
1950-07-26,1,17.27000046,2460000,0
1950-07-27,1,17.5,2300000,0
1950-07-28,1,17.69000053,2050000,0
1950-07-31,1,17.84000015,1590000,0
1950-08-01,1,18.02000046,1970000,0
1950-08-02,0,17.95000076,1980000,0
1950-08-03,1,17.98999977,1660000,0
1950-08-04,1,18.13999939,1600000,0
1950-08-07,1,18.40999985,1850000,0
1950-08-08,1,18.45999908,2180000,0
1950-08-09,1,18.61000061,1760000,0
1950-08-10,0,18.47999954,1870000,0
1950-08-11,0,18.28000069,1680000,0
1950-08-14,1,18.29000092,1280000,0
1950-08-15,1,18.31999969,1330000,0
1950-08-16,1,18.34000015,1770000,0
1950-08-17,1,18.54000092,2170000,0
1950-08-18,1,18.68000031,1780000,0
1950-08-21,1,18.70000076,1840000,0
1950-08-22,0,18.68000031,1550000,0
1950-08-23,1,18.81999969,1580000,0
1950-08-24,0,18.79000092,1620000,0
1950-08-25,0,18.54000092,1610000,0
1950-08-28,0,18.53000069,1300000,0
1950-08-29,1,18.54000092,1890000,0
1950-08-30,0,18.43000031,1490000,0
1950-08-31,0,18.42000008,1140000,0
1950-09-01,1,18.54999924,1290000,0
1950-09-05,1,18.68000031,1250000,0
1950-09-06,0,18.54000092,1300000,0
1950-09-07,1,18.59000015,1340000,0
1950-09-08,1,18.75,1960000,0
1950-09-11,0,18.61000061,1860000,0
1950-09-12,1,18.87000084,1680000,0
1950-09-13,1,19.09000015,2600000,0
1950-09-14,1,19.18000031,2350000,0
1950-09-15,1,19.29000092,2410000,0
1950-09-18,1,19.37000084,2040000,0
1950-09-19,0,19.30999947,1590000,0
1950-09-20,0,19.20999908,2100000,0
1950-09-21,1,19.37000084,1650000,0
1950-09-22,1,19.44000053,2510000,0
1950-09-25,0,19.42000008,2020000,0
1950-09-26,0,19.13999939,2280000,0
1950-09-27,1,19.40999985,2360000,0
1950-09-28,1,19.42000008,2200000,0
1950-09-29,1,19.45000076,1800000,0
1950-10-02,1,19.69000053,2200000,0
1950-10-03,0,19.65999985,2480000,0
1950-10-04,1,20,2920000,0
1950-10-05,0,19.88999939,2490000,0
1950-10-06,1,20.12000084,2360000,0
1950-10-09,0,20,2330000,0
1950-10-10,0,19.78000069,1870000,0
1950-10-11,1,19.86000061,2200000,0
1950-10-13,0,19.85000038,2030000,0
1950-10-16,0,19.70999908,1630000,0
1950-10-17,1,19.88999939,2010000,0
1950-10-18,1,20.01000023,2410000,18.46076482
1950-10-19,1,20.02000046,2250000,18.48029467
1950-10-20,0,19.95999908,1840000,18.49906033
1950-10-23,0,19.95999908,1850000,18.51767127
1950-10-24,1,20.07999992,1790000,18.5373255
1950-10-25,0,20.04999924,1930000,18.55652698
1950-10-26,0,19.61000061,3000000,18.57120261
1950-10-27,1,19.77000046,1800000,18.58734191
1950-10-30,0,19.61000061,1790000,18.60175585
1950-10-31,0,19.53000069,2010000,18.61523198
1950-11-01,1,19.55999947,1780000,18.62886431
1950-11-02,1,19.72999954,1580000,18.64404689
1950-11-03,1,19.85000038,1560000,18.66028072
1950-11-06,0,19.36000061,2580000,18.67148968
1950-11-08,1,19.55999947,1850000,18.6845648
1950-11-09,1,19.79000092,1760000,18.69979615
1950-11-10,1,19.94000053,1640000,18.71637725
1950-11-13,1,20.01000023,1630000,18.73350163
1950-11-14,0,19.86000061,1780000,18.74897079
1950-11-15,0,19.81999969,1620000,18.76388621
1950-11-16,0,19.71999931,1760000,18.77765735
1950-11-17,1,19.86000061,2130000,18.7926872
1950-11-20,1,19.93000031,2250000,18.80827377
1950-11-21,0,19.87999916,2010000,18.82321953
1950-11-22,1,20.15999985,2730000,18.84081953
1950-11-24,1,20.31999969,2620000,18.85986878
1950-11-27,0,20.18000031,1740000,18.87737575
1950-11-28,0,19.55999947,2970000,18.88856679
1950-11-29,0,19.37000084,2770000,18.89775038
1950-11-30,1,19.51000023,2080000,18.90822301
1950-12-01,1,19.65999985,1870000,18.92007525
1950-12-04,0,19,2510000,18.92523097
1950-12-05,1,19.30999947,1940000,18.93337474
1950-12-06,1,19.45000076,2010000,18.94279614
1950-12-07,0,19.39999962,1810000,18.95160559
1950-12-08,0,19.39999962,2310000,18.96030559
1950-12-11,1,19.71999931,2600000,18.97207871
1950-12-12,0,19.68000031,2140000,18.98332896
1950-12-13,0,19.67000008,2030000,18.99436031
1950-12-14,0,19.43000031,2660000,19.00288469
1950-12-15,0,19.32999992,2420000,19.01030409
1950-12-18,1,19.85000038,4500000,19.02279364
1950-12-19,1,19.95999908,3650000,19.03624736
1950-12-20,1,19.96999931,3510000,19.04966775
1950-12-21,1,19.97999954,3990000,19.06305581
1950-12-22,1,20.06999969,2720000,19.07720108
1950-12-26,0,19.92000008,2660000,19.08971053
1950-12-27,1,20.29999924,2940000,19.10585928
1950-12-28,1,20.37999916,3560000,19.12264434
